N,Rho,Verteilung_X,Parameter,Avg_Skewness,Bias_OLS,Bias_ICA,RMSE_OLS,RMSE_ICA
200,0.4,lognormal,"{'mean': 0.0, 'sigma': 0.25}",0.1193,1.7484,0.6309,1.7508,19.1565
200,0.4,t,{'df': 3},0.0258,0.1448,0.0033,0.1537,4.0421
200,0.4,t,{'df': 4},-0.0091,0.1939,0.015,0.2014,33.5757
200,0.4,t,{'df': 5},-0.0265,0.2222,0.0248,0.2286,4.9584
200,0.4,t,{'df': 6},-0.0208,0.2419,0.0429,0.2479,22.8195
200,0.5,beta,"{'a': 0.5, 'b': 0.5}",-0.0089,1.3288,-0.0018,1.3301,1.4526
200,0.5,beta,"{'a': 1.0, 'b': 1.0}",-0.0011,1.4996,-0.0266,1.5007,3.4684
200,0.5,beta,"{'a': 2.0, 'b': 2.0}",-0.0003,1.6661,0.2396,1.6669,6.3846
200,0.5,beta,"{'a': 4.0, 'b': 4.0}",-0.0002,1.8003,1.2748,1.8008,16.7867
200,0.5,chisquare,{'df': 2},1.7252,0.1173,-0.0016,0.1241,0.114
200,0.5,chisquare,{'df': 8},0.9325,0.0311,0.0025,0.0356,0.2188
200,0.5,chisquare,{'df': 14},0.7186,0.0185,0.0005,0.0227,1.1894
200,0.5,chisquare,{'df': 20},0.6036,0.0131,0.0013,0.017,0.5631
200,0.5,gamma,"{'shape': 1.0, 'scale': 0.5}",0.6732,1.001,0.0136,1.0066,9.232
200,0.5,gamma,"{'shape': 1.0, 'scale': 2.0}",1.7252,0.1173,0.0015,0.1241,0.1158
200,0.5,gamma,"{'shape': 2.0, 'scale': 4.0}",1.3219,0.0156,0.0002,0.0198,0.0736
200,0.5,gamma,"{'shape': 4.0, 'scale': 2.0}",0.9325,0.0311,0.0007,0.0356,0.2234
200,0.5,lognormal,"{'mean': 0.0, 'sigma': 1.0}",3.4547,0.118,-0.0013,0.1304,0.0527
200,0.5,lognormal,"{'mean': 0.0, 'sigma': 0.75}",2.0377,0.3294,-0.0013,0.342,0.154
200,0.5,lognormal,"{'mean': 0.0, 'sigma': 0.5}",0.747,0.8141,0.0034,0.8211,10.0526
200,0.5,lognormal,"{'mean': 0.0, 'sigma': 0.25}",0.0701,1.5694,0.6061,1.5707,13.0263
200,0.5,t,{'df': 3},0.0247,0.1748,0.0034,0.1832,0.2253
200,0.5,t,{'df': 4},-0.0085,0.2319,0.0173,0.2383,0.9789
200,0.5,t,{'df': 5},-0.0248,0.265,0.0313,0.2703,25.6575
200,0.5,t,{'df': 6},-0.0199,0.2874,0.0445,0.2922,4.9797
200,0.6,beta,"{'a': 0.5, 'b': 0.5}",-0.0092,1.2337,-0.0081,1.2346,0.4535
